,ex0,ex1,ex2,ex3,ex4,ex5,ex6,ex7,ex8,ex9,ex10,ex11,ex12,ex13,ex14,ex15,ex16,ex17,ex18,ex19,ex20,ex21,ex22,ex23,ex24,ex25,ex26,ex27,ex28,ex29,ex30,ex31,ex32,ex33,ex34,ex35,ex36,ex37,ex38,ex39,ex40,ex41,ex42,ex43,ex44,ex45,ex46,ex47,ex48,ex49,ex50,ex51,ex52,ex53,ex54,ex55,ex56,ex57,ex58,ex59,ex60,ex61,ex62,ex63,ex64,ex65,ex66,ex67,ex68,ex69,ex70,ex71,ex72,ex73,ex74,ex75,ex76,ex77,ex78,ex79,ex80,ex81,ex82,ex83,ex84,ex85,ex86,ex87,ex88,ex89,ex90,ex91,ex92,ex93,ex94,ex95,ex96,ex97,ex98,ex99,time
0,-0.06383778811957813,-0.06280250304832985,-0.0618224263191234,-0.06214998207933175,-0.0630671238946626,-0.06233903588987085,-0.0615801716992862,-0.06254133317742784,-0.06231769318963476,-0.06430220140913734,-0.06394587685286578,-0.06305236790516772,-0.06262814854320328,-0.06322704023977604,-0.06262181380076093,-0.0640983232533781,-0.06269447226314984,-0.0626480456199398,-0.062418566716874145,-0.06387465922427213,-0.06401424032608037,-0.06291509188223769,-0.06310703485517821,-0.06279907430791727,-0.06250965873978856,-0.06290669697970729,-0.06317634689355488,-0.06383084606469155,-0.06353791250470747,-0.06376749155532146,-0.0637850676351503,-0.06313490105693924,-0.06306513751026281,-0.06258906027964982,-0.0630082297791514,-0.06273756561014897,-0.06288025864584337,-0.06403269064055804,-0.06368051337385873,-0.0626338727650016,-0.06275611626327357,-0.0630785766262115,-0.06319958876402458,-0.06339849732328089,-0.06248051579459119,-0.06307416508515394,-0.062282109243142536,-0.06273066111544802,-0.06345456877412955,-0.0624611117534424,-0.061942744201351194,-0.06231216570355198,-0.06243391176079238,-0.06364453226478677,-0.06273035315591584,-0.06347056792171789,-0.06306668884022429,-0.06256733814537362,-0.0635773861988668,-0.06247663545665448,-0.06271414919137887,-0.0637737358508428,-0.06351952873965487,-0.06292821030737827,-0.06200233319734955,-0.06297785775636126,-0.06196435828736858,-0.06320886501397888,-0.06239768363977232,-0.06353079946261876,-0.06308539625100407,-0.06378459111356556,-0.06227082911113433,-0.06365437192576784,-0.06409259614592124,-0.06301951400063313,-0.06282934459049494,-0.0637471614065457,-0.06309544288455246,-0.06303001793916023,-0.06317230548711582,-0.06262712391474158,-0.0622419824229608,-0.06316249956991749,-0.06351093786425833,-0.06279747030838265,-0.06303729309750356,-0.06341941148058422,-0.06202913697166603,-0.06362328281318462,-0.06287114401306748,-0.06296588708626917,-0.0624237446824379,-0.06282466553998829,-0.06273302320252348,-0.06389308997839559,-0.06347797533728974,-0.06322921935516551,-0.06329797835277418,-0.06273883027210521,0.0
1,0.0818168810887956,0.0816901125277752,0.12011533280812833,0.1188957855200939,0.09644969556502903,0.09288652042942279,0.10041493283812437,0.11041127571167443,0.09758158116145409,0.10109079043027117,0.09969996334732263,0.12487123163143012,0.10855690090240883,0.13189118696012012,0.12027527826534716,0.12114899809921136,0.11016953091756332,0.10204020352748464,0.09400476862260848,0.12016515637121303,0.10026085505590958,0.09421533000742811,0.09918708597577146,0.06957161590195474,0.09229776368250574,0.07114503527707138,0.08572703083994769,0.11346688446591222,0.08647200390126857,0.09639810931404062,0.10792226529970288,0.10710301832214897,0.07818352834625385,0.08246864539241233,0.10919683247233164,0.09498773869264414,0.0957653453403176,0.12015879430313733,0.1097270427193643,0.11910386290099241,0.08991664517480709,0.1329594448437536,0.09497074625387356,0.12475969416616126,0.07689844412715839,0.11741335076555381,0.10066518894800366,0.10744612462396552,0.1360160505828752,0.11519509358661781,0.11335831077350246,0.14726532214775198,0.11553650285246188,0.1487549567556434,0.08172734336231068,0.10729888233457166,0.12286159483930949,0.10375826139933496,0.12459148007912853,0.09254353852909626,0.12142312313636652,0.0857523904237114,0.10812006721498411,0.13359228952406438,0.11458400170795584,0.08506509317102684,0.13859984858446503,0.11181791533961244,0.12196148600856657,0.10665082067873607,0.13574767729936407,0.09494200381086557,0.09168024337989389,0.08714769079273892,0.10434374511755468,0.08775365297853407,0.10728737096544584,0.05675702059927554,0.10969409370235128,0.10331298352913738,0.128017956516642,0.09745321100632262,0.12515352011419192,0.08153368033943548,0.11592487649309598,0.13119696808091966,0.10993095181853932,0.12152916599701012,0.11353894100126126,0.12402043399983968,0.1112229841827296,0.0840071441061254,0.10013041580939834,0.06812955335337205,0.13679605687101426,0.09343442655893171,0.08347760182982107,0.10333716893284993,0.07778545343731079,0.14573220770757359,0.050505050505050504
2,0.21054819546425618,0.20861281895583236,0.28177844653757533,0.27425839915182715,0.23798905475516827,0.22860513298493768,0.24457465419419727,0.25895454524918643,0.23572521402123586,0.24369066161204408,0.24016372142171083,0.29181476844164944,0.2571348236032161,0.2965238722105461,0.27698109255587267,0.2726796796790376,0.2615003502739239,0.248200272278825,0.23072029537056216,0.27822161409965757,0.24777388603635064,0.22987918080527647,0.23844252393446758,0.1908659431116148,0.23206732303658695,0.19423803538007622,0.21786871092973958,0.26507100443799525,0.21885729584506833,0.23713004884523786,0.25236726426551415,0.25062152696396656,0.20890580278827697,0.20925678319302354,0.2568495786909706,0.232898282651343,0.23321312428232568,0.27281338552818485,0.2591455024964917,0.2730663079002853,0.22277159182017015,0.29479434909746804,0.23355623407480214,0.28614431231300075,0.20123817165276298,0.272051959613487,0.24267885135732215,0.2570816920525048,0.30165711746012175,0.27286053029704715,0.26540266106400284,0.324502674721391,0.27011402629402004,0.3304302689594766,0.20930150387180893,0.2555054310968454,0.2825564759634506,0.2469237903935468,0.2860394605520686,0.2267956276287018,0.27523729978545924,0.21902198575571136,0.25195212044246235,0.2943391612896189,0.2673262307427214,0.21657738731078638,0.30330087711559517,0.2639287411915291,0.27566743912830605,0.2524241014880619,0.30193820293799206,0.23161425244555942,0.22672937511733662,0.22064927804017917,0.24890933371651955,0.22183185921477913,0.25819726113224106,0.16349639840628793,0.26082984461350867,0.2465180859970645,0.2905605048867589,0.24043971448235707,0.2803871594898703,0.21006041791002283,0.2688056464845222,0.30005053427791456,0.26370284723684384,0.27844418828716,0.2639005961544794,0.2887921749094963,0.25900736543167135,0.21469138327784762,0.24677687835644507,0.1895810849997287,0.30671674126364484,0.23261799292535426,0.2101336004816649,0.24486922394691607,0.20133907076947669,0.3222333121336841,0.10101010101010101
3,0.3234144116135246,0.3190845020325452,0.42106409834462594,0.404008293354067,0.3636928643384868,0.3458779130447413,0.36849452337148475,0.38706969255595464,0.35743724860241455,0.3706480381733882,0.3596414275213765,0.4400454610999091,0.3866195482315757,0.4351869612589404,0.40914279530818704,0.3965873216596294,0.39411996770769014,0.3734364914107284,0.3468341098863794,0.4170947020862252,0.3758272682586279,0.3477303353912128,0.35730231265940077,0.30017311052596246,0.35913745504177697,0.30627111725917583,0.334158721304099,0.3930824178371765,0.3390044068924587,0.3571037527316368,0.3730042712311992,0.37230901573537506,0.3259395107837934,0.32224202910834954,0.378697776972925,0.3529164762835145,0.35184308546479176,0.40185698079463555,0.38788092018402404,0.4043050201511065,0.33664003681074456,0.42880381890188846,0.35590318799810144,0.42784237919247714,0.310504151852109,0.40316097389576655,0.3664145937831586,0.39045517913938643,0.4390112523862631,0.4085619996348106,0.39951633718627805,0.46768572457459734,0.3997581974424837,0.48431616874948274,0.3193886557415113,0.38314789149706824,0.42053462893328386,0.3670754258988149,0.42344101576497906,0.3435976173992356,0.40321687981699267,0.33362602785325346,0.37565712715991645,0.4234289545772337,0.4001848070290676,0.3309844927674334,0.4411917090381474,0.3949079795286546,0.40458865819931,0.37710105891648354,0.44165483693433905,0.35104834091042575,0.3450158580267824,0.33699062849906675,0.37540220367360927,0.3373707722049766,0.38681288567846683,0.26099588438050025,0.3887465413598356,0.3678277425956121,0.42520656491690184,0.36811656860222686,0.4086504488040319,0.32199791847077847,0.4020822122938532,0.44772844620674873,0.3948285743254238,0.4087567184825013,0.39276843943600365,0.4319854253989162,0.38491391578310624,0.32603005644346206,0.37821458432335325,0.29921504763970713,0.4480374457464597,0.3563450946804894,0.3178411187140194,0.3694273541430019,0.3127789860233432,0.4730980315156292,0.15151515151515152
4,0.42490083187591277,0.4132294272595016,0.5415971058963004,0.5115931407892442,0.47453640315340023,0.44605015509909895,0.47525445332325694,0.49481162711747717,0.46089270445359515,0.4813503394262515,0.4603200485679655,0.5744336817464062,0.4961944518860669,0.5529232846396052,0.520744982167891,0.4982228600659394,0.5103200009425981,0.48225498585347726,0.447423304692012,0.5344033906528037,0.4870558369134892,0.4484708895283713,0.45918325521463815,0.3984396966680864,0.47224732407324205,0.408455668778392,0.4362125302455634,0.5016575558198038,0.44358249317522347,0.45823066464424017,0.47198717276322777,0.47387049394424513,0.42834314902689835,0.4210438776881772,0.48220048150897404,0.4560131024982913,0.4563049165052037,0.5055801831879895,0.49691347770007177,0.5145036092855246,0.4344575721712871,0.5368942623226779,0.4634025916297865,0.5490963439705141,0.404269027186637,0.5129033196824937,0.47414603427009705,0.5074988276748128,0.5535303019207382,0.5259901136726703,0.5130472455739354,0.5825347393986569,0.5079845484779296,0.6132441914255219,0.41642583609890027,0.4907537589286754,0.5375174331201416,0.46943707033633875,0.5411169711934277,0.4424121572368161,0.5102601526399388,0.43073420113576316,0.48094328007687126,0.5295935473663623,0.5150004319375591,0.4303439958681982,0.553849959229287,0.5062368680531805,0.509369168040796,0.4831981213796847,0.5550467927198531,0.45553206580230876,0.4458065924417044,0.4398534163914951,0.48084724613013624,0.43996363517280473,0.49696815367000924,0.3474495525337188,0.49809511544259805,0.46886495500424397,0.5363305786519923,0.47924898430993335,0.5068181260226059,0.41864165587189495,0.5161247377524794,0.574270819575252,0.510431328118203,0.517216138043077,0.5003396096786127,0.5560642909468936,0.4914819365197673,0.42263395072391946,0.49232526013373223,0.3964744593170122,0.568109198450918,0.4625943202445649,0.4121601600204118,0.4759284640721575,0.41241730697629636,0.5979942360328577,0.20202020202020202
5,0.5156112592695096,0.4941698820907032,0.6437251519425051,0.6001617011319489,0.5696943144737154,0.5330056337792487,0.5666890899276679,0.5849166392709586,0.5501533545624528,0.5773447718607047,0.5444320337436774,0.6886696450900612,0.5886806787406292,0.649365302424401,0.6131473874071196,0.5798068100538083,0.6091607177592513,0.5750139720624405,0.5313229216467906,0.636560725745183,0.5865139418549885,0.5341133349878516,0.5422359747489541,0.488355269685286,0.5751312917994608,0.4992053795523023,0.5251833818240892,0.5912631117729691,0.5338546040191607,0.5445670196118787,0.5566896644385815,0.5578201110772782,0.5214057685745802,0.5040165299313778,0.5645244821977156,0.5444690769381016,0.5418824227997175,0.5931180779700672,0.5891996148283011,0.6052625127898134,0.5155704774526679,0.6231046850391193,0.5583006991963441,0.651504341223687,0.48646414821273853,0.6044297106203752,0.5642695813946447,0.6087901149593788,0.6437484154927627,0.625555778637064,0.6111085324766063,0.6759739172375966,0.6015753502194359,0.7218384959864789,0.5024179003610094,0.5835792376087858,0.6367255714998683,0.551488487812524,0.6381197132962122,0.5278438272389673,0.5951960455811386,0.5154920210207076,0.5695847318172177,0.6124864213120055,0.6117889518110827,0.5155556916973092,0.6457461190361721,0.6029990657282452,0.592691149941969,0.5728653011029565,0.6507210593109086,0.544624185485914,0.533378298269525,0.5286151641387545,0.5732508878637099,0.5267433703600612,0.5906296227550145,0.42277951079078907,0.5908226124684128,0.5545862060931964,0.6263863410601549,0.5763501260944094,0.5893369748237869,0.5034649498138093,0.6102057115540168,0.6830358593120542,0.6075554070814669,0.6061694478389564,0.5894645578723016,0.6592824735799917,0.579639931959027,0.5052873380904552,0.5961221277905576,0.48337046777584247,0.6664103884624705,0.5566652400441847,0.4892249328770883,0.5652505080986694,0.4967387108714123,0.700641248441942,0.25252525252525254
6,0.5945518106038681,0.5614837745981894,0.7282327926289066,0.6724058733114217,0.6526203779220223,0.6064935911863193,0.6428073335888476,0.6593684669469322,0.6231329344249638,0.6592960008454973,0.614279238637268,0.7889273481110982,0.667313741520546,0.7290945130843842,0.6890983992165213,0.6439185786051319,0.6931113866614018,0.6524371107483768,0.6051627405867475,0.7201345743565163,0.670862357148083,0.6030018446551837,0.6127115015157367,0.5663657189529027,0.6632492166130066,0.5817271454640827,0.6022141681323055,0.6608035814755455,0.6133055489216114,0.6149124576668007,0.6239243499370145,0.6253947881315525,0.6013636946761212,0.5762447437745019,0.6335927519772099,0.6198480130572153,0.61739981165712,0.6617483547550708,0.6662006973373206,0.678994425245346,0.5830040069095817,0.6924219465721136,0.6407180207491331,0.7349319281217226,0.5586626219598086,0.679342369412839,0.6431722962581508,0.6957972861997878,0.7168579151443828,0.7087796618370515,0.6941785724333948,0.751695929907347,0.6766103833754648,0.8103507240435815,0.574338028233971,0.6593537737267722,0.7191140121564343,0.6208376786518669,0.7181697821796388,0.5992771077081851,0.6627548468014682,0.5859782580924678,0.6435758647920693,0.6780058158096585,0.6941502623341207,0.5877358092194345,0.7187572614765679,0.6837012357125705,0.6601413206506196,0.6492685048170136,0.7256060952663733,0.619250592105521,0.6064419851856225,0.6048498235311925,0.6514365507144304,0.6027293544334562,0.671034168528098,0.4896642037996804,0.6678861020221397,0.6253622492870233,0.6999212567528673,0.6596449499129737,0.6524695982979212,0.5775775787977254,0.6910819507028134,0.7755676550628048,0.6923675519635105,0.678866142368464,0.6623495329573473,0.7483171341540809,0.6506117623012647,0.5755772603078958,0.6834161492155687,0.5599632270337664,0.7450212671485089,0.6360320091735786,0.5545993281888953,0.6393124048145552,0.5709371172562917,0.7821305474383958,0.30303030303030304
7,0.6587645167139711,0.6195972975978249,0.7998894376997356,0.7291905758918557,0.7244240218592349,0.6657504615408889,0.7057094424204488,0.7202164373667294,0.685969482788657,0.7307795190369258,0.6711096371968527,0.8754798492982443,0.7311078015083333,0.7932419118549003,0.7498210682640032,0.6947844618632354,0.7627926558958561,0.7180067712960544,0.6631580688429203,0.789455544927182,0.7427408669129091,0.663816600077821,0.6703444670198266,0.6368739181399676,0.741230998559594,0.6553219720675095,0.6672723216749761,0.7194084070322746,0.6812430537945381,0.6743720708848463,0.6781185351139238,0.6790267179822432,0.6733908278622013,0.6378601152031879,0.6872192789769704,0.6805368920896485,0.6780074339705695,0.7137200823434788,0.7296499193411232,0.739126675920116,0.6405811959723634,0.7442181880482064,0.7091211621830253,0.803839978005192,0.6185165678723687,0.7382655333998516,0.7086581326309548,0.7694200766911822,0.7722908330665534,0.7793073917834122,0.7624485771693869,0.8090268618123337,0.7354010977016753,0.8802089392374376,0.6356925600218654,0.7199369666685951,0.7870222419157348,0.6736183803256567,0.7843352896524005,0.6567159538895262,0.7156396912732548,0.6443865981364313,0.702673718725537,0.7287703610100613,0.7608067841349013,0.6479376264441694,0.7747494396806003,0.7497451761202982,0.7130432098959374,0.7099310188526358,0.7842665366830011,0.6812869662495186,0.6677856437657131,0.6701620459041764,0.7149710236209248,0.665401388682102,0.7364038409835348,0.5483057862565104,0.7320464924253368,0.6814047867211533,0.7544661047226993,0.7314079666038259,0.7011384986060227,0.6368670075581565,0.7553327389464846,0.8501976735337948,0.760972703206398,0.7336229461326502,0.7247642942332951,0.8200529822309511,0.710080198110171,0.6344971545266519,0.7604560584506036,0.6288411717202057,0.8078415115582609,0.7055771619673886,0.6066345387034603,0.7015921357440276,0.6371181037240712,0.845598656718637,0.35353535353535354
8,0.7159049374244644,0.6671573004387461,0.8573516239422434,0.7724384681536388,0.7841273673672068,0.7135781926309571,0.7568490168158835,0.769301316418072,0.7380910138867273,0.7880775627276569,0.714579481498257,0.9476647687780198,0.7830864450541304,0.8415324457890336,0.7964828420869438,0.7325528746309283,0.8218488159950395,0.7709309236684208,0.7108620251286668,0.8469195293732257,0.8029756083926695,0.7100412093346686,0.7164793959728895,0.6996582738565982,0.8098033731221466,0.7187141095824044,0.7234715919286608,0.7627510396620886,0.7370676180002719,0.7215766281890126,0.7204294015264037,0.7210027678481685,0.7351020366191532,0.6877397633129567,0.730311009508442,0.7325454628251005,0.7267473919263898,0.7538150989426399,0.7788005512592672,0.7857443637607674,0.6841436444483568,0.78611928352162,0.7693260730901142,0.8575482132385089,0.6686758125825251,0.786245968273344,0.7608866730076983,0.8307045489025672,0.8125307503872689,0.8369747147132425,0.8196100560731456,0.8512824327102183,0.7828444787225824,0.9357931061527713,0.6881867334797586,0.7697286183238388,0.8416770719461483,0.7165209036734996,0.8369898323669714,0.7047221458626459,0.7574206606152333,0.6915492005447293,0.7513326014741353,0.7642658349821255,0.8135181363946367,0.6987779808653263,0.8165501547549551,0.8061143824305229,0.7519716263422349,0.7596796526051136,0.8284858677240434,0.7306554596932487,0.7213938611757557,0.7256051589144095,0.7673719590130109,0.7189772299082853,0.7874463514504089,0.5994385758652274,0.7847573481440688,0.728260308740563,0.7961487538497098,0.792544806983743,0.7368425952243013,0.6863750423818921,0.8080978212869041,0.9098988686255838,0.8188278997714122,0.778103651409382,0.7720525528861878,0.878471504739705,0.757768636462522,0.6827159662995851,0.8255462457099993,0.6883365976821961,0.8561170004541488,0.7620842109255699,0.6468666443899386,0.7532895803536753,0.6919719024280919,0.8954029745453187,0.40404040404040403
9,0.7633363666700471,0.7063842216587097,0.9039590336230654,0.8056380672141887,0.8354931046932346,0.7539168481706361,0.7972391888784359,0.8065947105393231,0.7791470432487315,0.8367623057072858,0.749726401179069,1.0066121572529796,0.8245468138372282,0.8782238473823204,0.8311794213537731,0.7583247716924856,0.8673729178563192,0.8124084113066634,0.7492975700788125,0.891257103751346,0.8504463494132383,0.7485790620252194,0.7524609763166034,0.7525246123278047,0.866784044264034,0.7739525813392709,0.769739600923425,0.7965079954374789,0.7856163130502841,0.7601334257336537,0.753295303736344,0.7518724446533334,0.7872468718380254,0.72920024281429,0.7620532481285484,0.7731941076589404,0.7687341487277068,0.7836858818347727,0.8187396673447119,0.8201485905176688,0.7194720717499179,0.8125761396029018,0.8169793226434059,0.9009331274056864,0.7098134962878504,0.8218510233085163,0.80432120327651,0.8819529706471158,0.8419656775441388,0.8823995775708657,0.8628402876951646,0.8814214180329327,0.8174001826725403,0.9768099057339474,0.732047440134465,0.8082922641875826,0.8835946422489314,0.7484687306756869,0.8767941736623504,0.7427559601330802,0.7863637519628139,0.7260563342088074,0.7865351811706036,0.7909210264101422,0.858341939962415,0.7389048448028986,0.8455789519077309,0.8492399151155692,0.7797724652369167,0.7990757708269747,0.8593667779970451,0.7715529608788854,0.7635772070632239,0.7712411447421268,0.8085651831524149,0.7603846634287176,0.8296510341425074,0.6418512376178057,0.8263728366457191,0.7635365333182432,0.8252905816848511,0.8428360072150914,0.7611282031837879,0.7273278480089396,0.8483195444009639,0.9585261026307672,0.8660547447917559,0.8093279802119953,0.8088366030269427,0.9258269454364672,0.794634001232437,0.7206215676309367,0.8796522141350178,0.7399889106539019,0.8931831756828374,0.8099662535818286,0.6811726743252675,0.7917121994330153,0.7384985669589247,0.9308974350731999,0.45454545454545453
